Tipo de Documento,Referencia / Factura,Importe de factura,Descuento,Motivo del descuento,Pago Neto,Comentarios
Factura,PMP1261242,9983826.0,,,9983826.0,
Factura,PMP1261241,354044.0,,,354044.0,
Factura,PMP1261251,5680104.0,,,5680104.0,
Factura,PMP1261240,73967984.0,,,73967984.0,
Factura,PMP1261249,1461872.0,,,1461872.0,
Factura,PMP1261255,4202677.0,,,4202677.0,
Factura,PMP1263204,16394847.0,,,16394847.0,
Factura,PMP1261257,3309977.0,,,3309977.0,
Factura,PMP1263201,7630878.0,,,7630878.0,
Factura,PMP1261252,8597589.0,,,8597589.0,
Factura,PMP1261824,765394.0,,,765394.0,
Factura,PMP1263209,472778.0,,,472778.0,
Factura,PMP1263180,76077067.0,,,76077067.0,
Factura,PMP1263178,1594089.0,,,1594089.0,
Factura,PMP1265174,1207897.0,,,1207897.0,
Factura,PMP1264581,2006400.0,,,2006400.0,
Factura,PMP1264574,5345835.0,,,5345835.0,
Factura,PMP1265170,33943001.0,,,33943001.0,
Factura,PMP1265172,4310000.0,,,4310000.0,
Factura,PMP1264582,7381283.0,,,7381283.0,
Factura,PMP1263738,34861683.0,,,34861683.0,
Factura,PMP1263745,11674857.0,,,11674857.0,
Factura,PMP1263747,1907335.0,,,1907335.0,
Factura,PMP1263954,4355873.0,,,4355873.0,
Factura,PMP1263990,2326870.0,,,2326870.0,
Factura,PMP1261105,328714.0,,,328714.0,
Factura,PMP1263959,4397468.0,,,4397468.0,
Factura,PMP1263958,5577777.0,,,5577777.0,
Factura,PMP1264584,5579983.0,,,5579983.0,
Factura,PMP1263957,15882697.0,,,15882697.0,
Factura,PMP1264663,1151060.0,,,1151060.0,
Factura,PMP1264756,2282122.0,,,2282122.0,
Factura,PMP1264664,866993.0,,,866993.0,
Factura,PMP1264606,5446465.0,,,5446465.0,
Factura,PMP1264604,1604289.0,,,1604289.0,
Factura,PMP1264030,1743207.0,,,1743207.0,
Factura,PMP1264755,35833811.0,,,35833811.0,
Factura,PMP1264665,2010500.0,,,2010500.0,
Factura,PMP1264718,3104789.0,,,3104789.0,
Factura,PMP1264667,4012800.0,,,4012800.0,
Factura,PMP1264666,802560.0,,,802560.0,
Factura,PMP1265024,3252180.0,,,3252180.0,
Factura,PMP1265025,4015848.0,,,4015848.0,
Factura,PMP1263743,32935327.0,,,32935327.0,
Factura,PMP1264757,182154.0,,,182154.0,
Factura,PMP1265173,22094431.0,,,22094431.0,
Factura,PMP1264583,6375699.0,,,6375699.0,
Factura,PMP1264576,2427599.0,,,2427599.0,
Factura,PMP1265177,1264760.0,,,1264760.0,
Factura,PMP1264585,19348155.0,,,19348155.0,
Factura,PMP1265175,436681.0,,,436681.0,
Factura,PMP1265296,2257271.0,,,2257271.0,
Factura,PMP1260878,38050055.0,,,38050055.0,
Factura,PMP1260888,5185565.0,,,5185565.0,
Factura,PMP1260883,7102698.0,,,7102698.0,
Factura,PMP1263960,7739089.0,,,7739089.0,
Factura,PMP1262520,8022105.0,,,8022105.0,
Factura,PMP1265119,4816159.0,,,4816159.0,
Factura,PMP1265103,1539204.0,,,1539204.0,
Factura,PMP1265113,2732442.0,,,2732442.0,
Factura,PMP1265116,1352342.0,,,1352342.0,
Factura,PMP1261106,9005604.0,,,9005604.0,
Factura,PMP1261107,6653663.0,,,6653663.0,
Factura,PMP1265112,987870.0,,,987870.0,
Factura,PMP1263989,4541141.0,,,4541141.0,
Factura,PMP1264575,103589405.0,,,103589405.0,
Factura,PMP1265171,131122955.0,,,131122955.0,
Factura,PMP1264579,19895720.0,,,19895720.0,
Factura,PMP1264578,9562980.0,,,9562980.0,
Factura,PMP1265176,2586726.0,,,2586726.0,
Factura,PMP1263742,1877974.0,,,1877974.0,
Factura,PMP1264573,16415479.0,,,16415479.0,
Factura,PMP1264572,137560037.0,,,137560037.0,
Factura,PMP1262529,15501622.0,,,15501622.0,
Factura,PMP1263987,9858238.0,,,9858238.0,
Factura,PMP1265100,1278352.0,,,1278352.0,
Factura,PMP1262528,1789266.0,,,1789266.0,
Factura,PMP1263300,24133998.0,,,24133998.0,
Factura,PMP1263741,1097672.0,,,1097672.0,
Factura,PMP1263307,115992.0,,,115992.0,
Factura,PMP1263692,12547855.0,,,12547855.0,
Factura,PMP1262996,1859993.0,,,1859993.0,
Factura,PMP1263685,3403101.0,,,3403101.0,
Factura,PMP1263018,23796843.0,,,23796843.0,
Factura,PMP1263913,1543752.0,,,1543752.0,
Factura,PMP1263683,1007288.0,,,1007288.0,
Factura,PMP1262997,1275908.0,,,1275908.0,
Factura,PMP1263015,20614997.0,,,20614997.0,
Factura,PMP1263021,1095563.0,,,1095563.0,
Factura,PMP1263686,27486765.0,,,27486765.0,
Factura,PMP1263001,7932357.0,,,7932357.0,
Factura,PMP1263023,919994.0,,,919994.0,
Factura,PMP1263988,22611865.0,,,22611865.0,
Factura,PMP1263984,3193776.0,,,3193776.0,
Factura,PMP1262993,8059275.0,,,8059275.0,
Factura,PMP1263914,5181176.0,,,5181176.0,
Factura,PMP1262999,7787629.0,,,7787629.0,
Factura,PMP1261244,2096660.0,,,2096660.0,
Factura,PMP1261247,1675042.0,,,1675042.0,
Factura,PMP1261246,14783526.0,,,14783526.0,
Factura,PMP1261250,38769192.0,,,38769192.0,
Factura,PMP1261258,5172271.0,,,5172271.0,
Factura,PMP1261259,521963.0,,,521963.0,
Factura,PMP1263000,179998.0,,,179998.0,
Factura,PMP1263020,1115515.0,,,1115515.0,
Factura,PMP1263912,15545355.0,,,15545355.0,
Factura,PMP1263022,3931978.0,,,3931978.0,
Factura,PMP1263915,48278612.0,,,48278612.0,
Factura,PMP1262998,2371338.0,,,2371338.0,
Factura,PMP1263024,9038969.0,,,9038969.0,
Factura,PMP1263911,1430354.0,,,1430354.0,
Factura,PMP1263916,95000.0,,,95000.0,
Factura,PMP1263176,2908729.0,,,2908729.0,
Factura,PMP1263690,3274174.0,,,3274174.0,
Factura,PMP1263304,4821281.0,,,4821281.0,
Factura,PMP1263744,1135391.0,,,1135391.0,
Factura,PMP1263305,5616514.0,,,5616514.0,
Factura,PMP1263297,11925598.0,,,11925598.0,
Factura,PMP1263739,156598.0,,,156598.0,
Factura,PMP1265027,929710.0,,,929710.0,
Factura,PMP1265022,2057497.0,,,2057497.0,
Factura,PMP1261463,34846859.0,,,34846859.0,
Factura,PMP1265021,12959763.0,,,12959763.0,
Factura,PMP1265018,3292263.0,,,3292263.0,
Factura,PMP1259923,1530365.0,,,1530365.0,
Factura,PMP1259920,11257940.0,,,11257940.0,
Factura,PMP1259918,2788800.0,,,2788800.0,
Factura,PMP1258656,16368900.0,,,16368900.0,
Factura,PMP1260345,105239728.0,,,105239728.0,
Factura,PMP1260347,10277530.0,,,10277530.0,
Factura,PMP1260346,51971015.0,,,51971015.0,
Factura,PMP1258559,2181697.0,,,2181697.0,
Factura,PMP1258586,1774936.0,,,1774936.0,
Factura,PMP1259554,2988000.0,,,2988000.0,
Factura,PMP1259551,46202753.0,,,46202753.0,
Factura,PMP1259552,2579996.0,,,2579996.0,
Factura,PMP1259553,12717600.0,,,12717600.0,
Factura,PMP1258475,13226304.0,,,13226304.0,
Factura,PMP1258471,967499.0,,,967499.0,
Factura,PMP1260354,51715712.0,,,51715712.0,
Factura,PMP1260348,32167338.0,,,32167338.0,
Factura,PMP1258647,3425988.0,,,3425988.0,
Factura,PMP1259906,9810792.0,,,9810792.0,
Factura,PMP1258662,4624043.0,,,4624043.0,
Factura,PMP1259910,1859032.0,,,1859032.0,
Factura,PMP1261140,11470963.0,,,11470963.0,
Factura,PMP1261052,5887493.0,,,5887493.0,
Factura,PMP1261051,104794742.0,,,104794742.0,
Factura,PMP1260787,323725.0,,,323725.0,
Factura,PMP1261053,9883347.0,,,9883347.0,
Factura,PMP1260792,5103111.0,,,5103111.0,
Factura,PMP1261141,60391384.0,,,60391384.0,
Factura,PMP1261054,3555063.0,,,3555063.0,
Factura,PMP1260767,10889985.0,,,10889985.0,
Factura,PMP1260769,8274825.0,,,8274825.0,
Factura,PMP1260770,1741132.0,,,1741132.0,
Factura,PMP1260773,3977494.0,,,3977494.0,
Factura,PMP1260350,10167541.0,,,10167541.0,
Factura,PMP1260711,14955178.0,,,14955178.0,
Factura,PMP1260708,79342844.0,,,79342844.0,
Factura,PMP1260160,18083860.0,,,18083860.0,
Factura,PMP1260772,854147.0,,,854147.0,
Factura,PMP1258251,12717600.0,,,12717600.0,
Factura,PMP1258252,1182498.0,,,1182498.0,
Factura,PMP1258253,1195200.0,,,1195200.0,
Factura,PMP1260351,135663820.0,,,135663820.0,
Factura,PMP1258585,1980988.0,,,1980988.0,
Factura,PMP1260768,7167413.0,,,7167413.0,
Factura,PMP1264580,12864678.0,,,12864678.0,
Factura,PMP1264571,106597568.0,,,106597568.0,
Factura,PMP1264570,225138719.0,,,225138719.0,
Factura,PMP1264577,38219682.0,,,38219682.0,
Factura,PMP1263910,7691304.0,,,7691304.0,
Factura,PMP1263014,9721215.0,,,9721215.0,
Factura,PMP1263909,1452484.0,,,1452484.0,
Factura,PMP1263019,13008209.0,,,13008209.0,
Factura,PMP1262994,26445312.0,,,26445312.0,
Factura,PMP1262995,9159230.0,,,9159230.0,
Factura,PMP1263016,9695763.0,,,9695763.0,
Factura,PMP1263908,18462325.0,,,18462325.0,
Factura,PMP1263917,40073621.0,,,40073621.0,
Factura,PMP1260889,17035240.0,,,17035240.0,
Factura,PMP1263017,5231985.0,,,5231985.0,
Factura,PMP1263955,1894090.0,,,1894090.0,
Factura,PMP1263956,24369551.0,,,24369551.0,
Factura,PMP1263963,37104547.0,,,37104547.0,
Factura,PMP1265102,1263048.0,,,1263048.0,
Factura,PMP1265107,7002607.0,,,7002607.0,
Factura,PMP1263962,24581102.0,,,24581102.0,
Factura,PMP1263961,107511196.0,,,107511196.0,
Factura,PMP1264605,5678559.0,,,5678559.0,
Factura,PMP1264641,546722.0,,,546722.0,
Factura,PMP1265026,32934971.0,,,32934971.0,
Factura,PMP1265020,24740872.0,,,24740872.0,
Factura,PMP1258571,7730817.0,,,7730817.0,
Factura,PMP1260274,1771948.0,,,1771948.0,
Factura,PMP1263684,18409976.0,,,18409976.0,
Factura,PMP1259904,5234993.0,,,5234993.0,
Factura,PMP1258363,3401306.0,,,3401306.0,
Factura,PMP1264007,684711.0,,,684711.0,
Factura,PMP1265297,146560.0,,,146560.0,
Factura,PMP1265118,3104625.0,,,3104625.0,
Factura,PMP1262521,835209.0,,,835209.0,
Factura,PMP1266349,14446080.0,,,14446080.0,
Factura,PMP1266348,1101841.0,,,1101841.0,
Factura,PMP1266347,283856.0,,,283856.0,
Factura,PMP1265023,120493682.0,,,120493682.0,
Factura,PMP1266341,1698698.0,,,1698698.0,
Factura,PMP1265017,11821965.0,,,11821965.0,
Factura,PMP1265585,1628560.0,,,1628560.0,
Factura,PMP1265584,1145911.0,,,1145911.0,
Factura,PMP1263879,19724790.0,,,19724790.0,
Factura,PMP1263881,4152973.0,,,4152973.0,
Factura,PMP1264009,3740554.0,,,3740554.0,
Factura,PMP1263876,34088287.0,,,34088287.0,
Factura,PMP1266344,1936191.0,,,1936191.0,
Factura,PMP1266340,327171.0,,,327171.0,
Factura,PMP1263880,12163264.0,,,12163264.0,
Factura,PMP1260882,15482810.0,,,15482810.0,
Factura,PMP1260886,39952763.0,,,39952763.0,
Factura,PMP1260874,4368621.0,,,4368621.0,
Factura,PMP1260875,12387929.0,,,12387929.0,
Factura,PMP1265115,3854591.0,,,3854591.0,
Factura,PMP1265586,827341.0,,,827341.0,
Factura,PMP1265587,24768384.0,,,24768384.0,
Factura,PMP1264269,14378992.0,,,14378992.0,
Factura,PMP1266343,4554441.0,,,4554441.0,
Factura,PMP1266346,23749996.0,,,23749996.0,
Factura,PMP1266345,1722500.0,,,1722500.0,
Factura,PMP1258659,20001273.0,,,20001273.0,
Factura,PMP1261020,4810698.0,,,4810698.0,
Factura,PMP1259915,437396.0,,,437396.0,
Factura,PMP1261147,501528.0,,,501528.0,
Factura,PMP1261146,11524752.0,,,11524752.0,
Factura,PMP1262550,3116863.0,,,3116863.0,
Factura,PMP1262551,1821628.0,,,1821628.0,
Factura,PMP1260885,21245774.0,,,21245774.0,
Factura,PMP1260879,22687479.0,,,22687479.0,
Factura,PMP1261168,55391857.0,,,55391857.0,
Factura,PMP1261167,95000.0,,,95000.0,
Factura,PMP1261166,6277493.0,,,6277493.0,
Factura,PMP1261165,20921872.0,,,20921872.0,
Factura,PMP1261164,202103129.0,,,202103129.0,
Factura,PMP1260272,5835477.0,,,5835477.0,
Factura,PMP1261171,3752012.0,,,3752012.0,
Factura,PMP1261514,263010.0,,,263010.0,
Factura,PMP1261170,656095.0,,,656095.0,
Factura,PMP1261507,18795325.0,,,18795325.0,
Factura,PMP1261169,58109877.0,,,58109877.0,
Factura,PMP1259922,100243860.0,,,100243860.0,
Factura,PMP1259550,62712603.0,,,62712603.0,
Factura,PMP1259549,139310302.0,,,139310302.0,
Factura,PMP1261954,2495998.0,,,2495998.0,
Factura,PMP1261955,912728.0,,,912728.0,
