R5504575
Fecha de pago:;26/09/2025
Forma de pago:;CTA;********2566
Cía;Cliente;Tipo Doc;Num Doc;Num Factura;Valor;Fecha Doc
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308502;'005002000657322;15.78;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308503;'005002000657323;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308504;'005002000657324;81.16;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308505;'005002000657325;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308506;'005002000657326;15.78;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308507;'005002000657329;108.14;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308507;'005002000657329;-.02;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308508;'005002000657330;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308509;'005002000657331;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308510;'005002000657332;33.78;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308510;'005002000657332;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308511;'005002000657341;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308512;'005002000657342;158.26;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308512;'005002000657342;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308513;'005002000657343;50.26;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308513;'005002000657343;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308514;'005002000657344;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308515;'005002000657350;68.04;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308515;'005002000657350;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308516;'005002000657357;53.98;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308517;'005002000657358;47.84;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308517;'005002000657358;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308518;'005002000657359;60.62;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308519;'005002000657436;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308520;'005002000657437;117.89;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308520;'005002000657437;-.03;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308521;'005002000657468;26.87;12/06/2025
